iter	Accuracy	Logloss
300	0.9335256468	0.1656409354
301	0.9335436762	0.1656254805
302	0.9336608672	0.1654021448
303	0.933814117	0.1652043347
304	0.9338411611	0.1650523112
305	0.9339673668	0.164906164
306	0.9341296313	0.1647702867
307	0.9343820427	0.1645491641
308	0.9344992338	0.1643559422
309	0.9347155864	0.1641588816
310	0.9347246011	0.1640092481
311	0.9349319391	0.1637865761
312	0.9349860272	0.1636936932
313	0.9351032182	0.1636125602
314	0.9353105562	0.1635255881
315	0.9352654827	0.1634134825
316	0.935256468	0.1633805882
317	0.9354367619	0.163271152
318	0.9353826738	0.1631990334
